Chrysotile Mg3Si2O5(OH)4 Mg(3)Si(2)O(9)H(4) min mk -964871.0 -1043123.0 52.900 108.500 75.820000 31.600000 -17.580000 1000.00 # [1] 05.May.78
Cinnabar HgS Hg(1)S(1) min mk -10940.0 -12750.0 19.700 28.416 10.460000 3.720000 0.000000 618.00 # [1] 05.May.78
Clinochlore,14A Mg5Al(AlSi3)O10(OH)8 Mg(5)Al(2)Si(3)O(18)H(8) min mk -1961703.0 -2116964.0 111.200 207.110 166.500000 42.100000 -37.470000 900.00 # [1] 05.May.78
Clinozoisite Ca2Al3Si3O12(OH) Ca(2)Al(3)Si(3)O(13)H(1) min mk -1549240.0 -1643781.0 70.640 136.200 106.118000 25.214000 -27.145000 700.00 # [1;19] 15.Mar.90
Copper Cu Cu(1) min mk 0.0 0.0 7.923 7.113 5.410000 1.500000 0.000000 1357.00 # [1] 05.May.78
Cordierite Mg2Al3(AlSi5)O18 Mg(2)Al(4)Si(5)O(18) min mk -2061279.0 -2183199.0 97.330 233.220 143.830000 25.800000 -38.600000 1700.00 # [1] 05.May.78
Cordierite,hydrous Mg2Al3(AlSi5)O18(H2O) Mg(2)Al(4)Si(5)O(19)H(2) min mk -2121350.0 -2255676.0 111.430 241.220 155.230000 25.800000 -38.600000 1700.00 # [1] 05.May.78
Corundum Al2O3 Al(2)O(3) min mk -374824.0 -397145.0 12.180 25.575 27.490000 2.820000 -8.380000 1800.00 # [1] 05.May.78
Covellite CuS Cu(1)S(1) min mk -12612.0 -12500.0 15.900 20.420 10.600000 2.640000 0.000000 1273.00 # [1] 05.May.78
Cristobalite,alpha SiO2 Si(1)O(2) min mk -203895.0 -216755.0 10.372 25.740 13.980000 3.340000 -3.810000 1000.00 # [1] 05.May.78
Cristobalite,beta SiO2 Si(1)O(2) min mk -203290.0 -215675.0 11.963 27.380 17.390000 0.310000 -9.890000 2000.00 # [1] 05.May.78
Cummingtonite Mg7Si8O22(OH)2 Mg(7)Si(8)O(24)H(2) min mk null null 127.500 271.900 185.240000 58.610000 -41.660000 800.00 # [1] 16.Aug.15
Cuprite Cu2O Cu(2)O(1) min mk -35384.0 -40830.0 22.080 23.437 14.080000 5.880000 -0.760000 1515.00 # [1] 05.May.78
Daphnite,14A Fe5Al(AlSi3)O10(OH)8 Fe(5)Al(2)Si(3)O(18)H(8) min mk -1550482.0 -1695426.0 142.500 213.420 176.210000 43.760000 -33.820000 1000.00 # [1] 05.May.78
Diaspore AlO(OH) Al(1)O(2)H(1) min mk -218402.0 -237170.0 8.430 17.760 14.435000 4.200000 0.000000 500.00 # [1] 05.May.78
Dickite Al2Si2O5(OH)4 Al(2)Si(2)O(9)H(4) min mk null null 47.100 99.300 72.770000 29.200000 -21.520000 1000.00 # [1;7] 05.May.78
Diopside CaMg(SiO3)2 Ca(1)Mg(1)Si(2)O(6) min mk -723780.0 -765378.0 34.200 66.090 52.870000 7.840000 -15.740000 1600.00 # [1;19] 15.Mar.90
Dolomite CaMg(CO3)2 Ca(1)Mg(1)C(2)O(6) min mk -517760.0 -556631.0 37.090 64.365 41.557000 23.952000 -9.884000 1000.00 # [1;19] 15.Mar.90
Dolomite,disordered CaMg(CO3)2 Ca(1)Mg(1)C(2)O(6) min mk -515653.0 -553704.0 39.840 64.390 44.711000 17.779000 -10.948000 1000.00 # [1;19] 15.Mar.90
Dolomite,ordered CaMg(CO3)2 Ca(1)Mg(1)C(2)O(6) min mk -517760.0 -556631.0 37.090 64.340 44.711000 17.779000 -10.948000 1000.00 # [1;19] 15.Mar.90
Epidote Ca2FeAl2Si3O12(OH) Ca(2)Fe(1)Al(2)Si(3)O(13)H(1) min mk -1450906.0 -1543992.0 75.280 139.200 117.622000 12.816000 -31.864000 1100.00 # [1;19] 15.Mar.90
Epidote,ordered Ca2FeAl2Si3O12(OH) Ca(2)Fe(1)Al(2)Si(3)O(13)H(1) min mk -1450906.0 -1544016.0 75.200 139.200 113.780000 14.690000 -28.920000 1100.00 # [1;19] 15.Mar.90
Fayalite Fe2SiO4 Fe(2)Si(1)O(4) min mk -330233.0 -354119.0 35.450 46.390 36.510000 9.360000 -6.700000 1490.00 # [1] 05.May.78
Ferropargasite Na(Ca2Fe4Al)(Al2Si6)O22(OH)2 Na(1)Ca(2)Fe(4)Al(3)Si(6)O(24)H(2) min mk -2526187.0 -2686900.0 185.500 279.890 213.570000 42.990000 -47.290000 1000.00 # [1] 05.May.78
Ferrotremolite (Ca2Fe5)Si8O22(OH)2 Ca(2)Fe(5)Si(8)O(24)H(2) min mk -2349100.0 -2511300.0 163.500 282.800 197.930000 58.950000 -41.170000 800.00 # [1] 05.May.78
Ferrous-Oxide FeO Fe(1)O(1) min mk -60097.0 -65020.0 14.520 12.000 12.122000 2.072000 -0.750000 1600.00 # [1] 05.May.78
Fluorite CaF2 Ca(1)F(2) min mk -280493.0 -293000.0 16.390 24.542 14.300000 7.280000 0.470000 1424.00 # [1] 05.May.78
Fluorphlogopite KMg3(AlSi3)O10(F)2 K(1)Mg(3)Al(1)Si(3)O(10)F(2) min mk null null 80.380 146.370 96.130000 26.740000 -20.410000 1000.00 # [1;7] 05.May.78
Fluortremolite (Ca2Mg5)Si8O22(F)2 Ca(2)Mg(5)Si(8)O(22)F(2) min mk null null 129.400 270.450 183.740000 55.250000 -43.730000 800.00 # [1] 05.May.78
Forsterite Mg2SiO4 Mg(2)Si(1)O(4) min mk -491564.0 -520000.0 22.750 43.790 35.810000 6.540000 -8.520000 1800.00 # [1] 05.May.78
Galena PbS Pb(1)S(1) min mk -23115.0 -23500.0 21.800 31.490 11.170000 2.200000 0.000000 1388.00 # [1] 05.May.78
Gehlenite Ca2(Al2Si)O7 Ca(2)Al(2)Si(1)O(7) min mk -903148.0 -951225.0 48.100 90.240 63.740000 8.000000 -15.120000 1800.00 # [1;19] 15.Mar.90
Gibbsite Al(OH)3 Al(1)O(3)H(3) min mk -276168.0 -309065.0 16.750 31.956 8.650000 45.600000 0.000000 425.00 # [1] 05.May.78
Glaucophane Na2(Mg3Al2)Si8O22(OH)2 Na(2)Mg(3)Al(2)Si(8)O(24)H(2) min mk null null 130.000 269.700 190.260000 59.360000 -50.010000 800.00 # [1] 05.May.78
Goethite FeOOH Fe(1)O(2)H(1) min mk -117500. -134450. 14.27 20.88 0.2978 55.74 0.750239 375.00 # [G20] 03.Oct.08
Gold Au Au(1) min mk 0.0 0.0 11.330 10.215 5.660000 1.240000 0.000000 1336.00 # [1] 05.May.78
Graphite C C(1) min mk 0.0 0.0 1.372 5.298 4.030000 1.140000 -2.040000 2500.00 # [1] 05.May.78
Greenalite Fe3Si2O5(OH)4 Fe(3)Si(2)O(9)H(4) min mk -715340.0 -644110.0 72.600 115.000 81.650000 32.600000 -15.390000 1000.00 # [1] 05.May.78
Grossular Ca3Al2Si3O12 Ca(3)Al(2)Si(3)O(12) min mk -1496307.0 -1582737.0 60.870 125.300 104.017000 17.013000 -27.318000 1000.00 # [1;19] 15.Mar.90
Grunerite Fe7Si8O22(OH)2 Fe(7)Si(8)O(24)H(2) min mk null null 163.300 256.670 198.830000 60.930000 -39.550000 800.00 # [1] 05.May.78
Halite NaCl Na(1)Cl(1) min mk -91807.0 -98260.0 17.240 27.015 10.980000 3.900000 0.000000 1073.00 # [1] 05.May.78
Halloysite Al2Si2O5(OH)4 Al(2)Si(2)O(9)H(4) min mk null null 48.520 99.300 72.770000 29.200000 -21.520000 1000.00 # [1;7] 05.May.78
Hedenbergite CaFe(SiO3)2 Ca(1)Fe(1)Si(2)O(6) min mk -638998.0 -678276.0 40.700 68.270 54.810000 8.170000 -15.010000 1600.00 # [1;19] 05.Mar.90
Huntite CaMg3(CO3)4 Ca(1)Mg(3)C(4)O(12) min mk -1004710.0 -1082600.0 71.590 122.900 84.170000 42.860000 -20.440000 1000.00 # [1] 05.May.78
Hydromagnesite Mg5(OH)2(CO3)4(H2O)4 Mg(5)C(4)O(18)H(10) min mk -1401687.0 -1557090.0 129.380 208.800 141.460000 65.280000 -21.670000 1000.00 # [1] 05.May.78
Jadeite NaAl(SiO3)2 Na(1)Al(1)Si(2)O(6) min mk -679445.0 -722116.0 31.900 60.400 48.160000 11.420000 -11.870000 1400.00 # [1] 05.May.78
K-Feldspar K(AlSi3)O8 K(1)Al(1)Si(3)O(8) min mk -895374.0 -949188.0 51.130 108.870 76.617000 4.311000 -29.945000 1400.00 # [1] 05.May.78
Kaolinite Al2Si2O5(OH)4 Al(2)Si(2)O(9)H(4) min mk -905614.0 -982221.0 48.530 99.520 72.770000 29.200000 -21.520000 1000.00 # [1] 05.May.78
Kyanite Al2SiO5 Al(2)Si(1)O(5) min mk -580956.0 -616897.0 20.000 44.090 41.393132 6.816463 -12.882104 466.00 # [1] 05.May.78
Laurite RuS2 Ru(1)S(2) min mk -45030.0 -47680.0 13.200 25.560 17.012000 1.618000 -1.462000 1500.00 # [G12] 16.Aug.15
Laumontite Ca(Al2Si4)O12(H2O)4 Ca(1)Al(2)Si(4)O(16)H(8) min mk -1596823.0 -1728664.0 116.100 207.550 123.200000 44.470000 -16.430000 1000.00 # [1;19] 15.Mar.90
Leonhardite Ca2(Al4Si8)O24(H2O)7 Ca(2)Al(4)Si(8)O(31)H(14) min mk null null 220.400 407.860 235.000000 88.940000 -32.860000 1000.00 # [1] 05.May.78
Lime CaO Ca(1)O(1) min mk -144366.0 -151790.0 9.500 16.764 11.670000 1.080000 -1.560000 2000.00 # [1] 05.May.78
Litharge PbO Pb(1)O(1) min mk -45220. -52540. 15.85 23.91 12.193 2.455 -1.7656 2000. # [G9A] 11.Apr.95
Magnesite MgCO3 Mg(1)C(1)O(3) min mk -245658.0 -265630.0 15.700 28.018 19.731000 12.539000 -4.748000 1000.00 # [1] 05.May.78
